individuals,continent,country,state,year,platform,instrument,strat,lat,long
Pd_02,N_America,USA,Wisconsin,2016,ION_TORRENT,Ion Torrent PGM,SINGLE,43.0274,-90.0922
Pd_03,Europe,Czech Republic,Central Bohemian Region,2010,ION_TORRENT,Ion Torrent PGM,SINGLE,49.95444,14.17583
Pd_04,Europe,Czech Republic,Central Bohemian Region,2010,ION_TORRENT,Ion Torrent PGM,SINGLE,49.95444,14.17583
Pd_05,Europe,Czech Republic,Hradec Kralove,2011,ION_TORRENT,Ion Torrent PGM,SINGLE,50.69346,15.84652
Pd_06,Europe,Czech Republic,Hradec Kralove,2011,ION_TORRENT,Ion Torrent PGM,SINGLE,50.69346,15.84652
Pd_07,N_America,Canada,Ontario,2015,ION_TORRENT,Illumina HiSeq 2500,PAIRED,48.49862786,-89.22738373
Pd_08,N_America,Canada,Ontario,2015,ION_TORRENT,Illumina HiSeq 2500,PAIRED,48.49862786,-89.22738373
Pd_09,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.00312591,-63.83020617
Pd_10,N_America,Canada,Nova Scotia,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.00312591,-63.83020617
Pd_11,N_America,Canada,Prince Edward Island,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,46.011942,-62.618593
Pd_12,N_America,Canada,Ontario,2015,ILLUMINA,Illumina HiSeq 2500,PAIRED,48.49862786,-89.22738373
Pd_13,N_America,Canada,New Brunswick,2015,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.913154,-64.671138
Pd_14,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.8172,-65.6105
Pd_15,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.8172,-65.6105
Pd_16,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.913154,-64.671138
Pd_17,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.61596,-65.43991
Pd_18,Europe,Germany,Thuringa,2009,ILLUMINA,Illumina HiSeq 2500,PAIRED,50.78847656,10.7404997
Pd_19,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.93694,-64.47694
Pd_20,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.61596,-65.43991
Pd_21,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.61596,-65.43991
Pd_22,N_America,Canada,New Brunswick,2013,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.8172,-65.6105
Pd_23,N_America,USA,New York,2008,ILLUMINA,Illumina HiSeq 2500,PAIRED,41.84451537,-74.09854816
Pd_24,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina HiSeq 2500,PAIRED,45.913154,-64.671138
Pd_26,N_America,Canada,New Brunswick,2012,ILLUMINA,Illumina MiSeq,PAIRED,45.93694,-64.47694
Pd_27,N_America,Canada,Prince Edward Island,2012,ILLUMINA,Illumina MiSeq,PAIRED,46.011942,-62.618593
Pd_28,N_America,USA,New York,2008,ILLUMINA,Illumina MiSeq,PAIRED,41.84451537,-74.09854816
Pd_36,N_America,USA,New York,2009,ILLUMINA,454 GS FLX Titanium,SINGLE,41.84451537,-74.09854816
Pd_37,N_America,USA,New York,2009,ILLUMINA,454 GS FLX Titanium,SINGLE,41.84451537,-74.09854816
Pd_39,N_America,USA,New York,2009,ILLUMINA,454 GS FLX Titanium,PAIRED,41.84451537,-74.09854816
Pd_45,N_America,USA,New York,2009,ILLUMINA,454 GS FLX Titanium,PAIRED,41.84451537,-74.09854816
Pd_47,Europe,Germany,Thuringa,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED,50.78847656,10.7404997
Pd_48,Europe,Switzerland,Aargau,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED,47.08333,8
Pd_49,N_America,USA,Pennsylvania,2009,ILLUMINA,Illumina Genome Analyzer IIx,PAIRED,40.888611,-77.386111
