ids,sra
Pd_02,SRR3545531
Pd_03,SRR3411506
Pd_04,SRR3411507
Pd_05,SRR3411508
Pd_06,SRR3411509
Pd_07,SRR5755618
Pd_08,SRR5755619
Pd_09,SRR5755620
Pd_10,SRR5755621
Pd_11,SRR5755622
Pd_12,SRR5755623
Pd_13,SRR5755624
Pd_14,SRR5755625
Pd_15,SRR5755626
Pd_16,SRR5755627
Pd_17,SRR5755628
Pd_18,SRR5755629
Pd_19,SRR5755630
Pd_20,SRR5755631
Pd_21,SRR5755632
Pd_22,SRR5755633
Pd_23,SRR5755634
Pd_24,SRR5757331
Pd_26,SRR7191697
Pd_27,SRR7191698
Pd_28,SRR1952982
Pd_36,SRR029259
Pd_37,SRR029260
Pd_39,SRR031784
Pd_45,SRR107675
Pd_47,SRR6011467
Pd_48,SRR6011468
Pd_49,SRR6011469
Pd_50,SRR6011470
Pd_51,SRR6011471
Pd_52,SRR6011472
Pd_53,SRR6011473
Pd_54,SRR6011474
Pd_55,SRR6011475
Pd_56,SRR6011476
Pd_57,SRR6011477
Pd_58,SRR3545532
Pd_59,SRR3545533
Pd_60,SRR6011465
Pd_62,SRR6011478
Pd_63,SRR6011479
Pd_64,SRR6011480
Pd_65,SRR6011481
Pd_66,SRR6011482
Pd_67,SRR6011483
Pd_68,SRR6011484
Pd_70,SRR6011486
Pd_71,SRR6011487
Pd_72,SRR6011488
Pd_73,SRR6011489
Pd_74,SRR6011490
Pd_75,SRR6011491
Pd_76,SRR6011492
Pd_77,SRR6011493
Pd_78,SRR6011494
Pd_79,SRR6011495
Pd_80,SRR6011496
Pd_81,SRR6011497
Pd_82,SRR11812088
Pd_83,SRR11812089
Pd_84,SRR11812090
Pd_85,SRR11812091
