# [1]Indel length	[2]Count
-60	875
-59	17
-58	22
-57	29
-56	39
-55	25
-54	59
-53	31
-52	43
-51	47
-50	47
-49	43
-48	74
-47	45
-46	51
-45	103
-44	59
-43	53
-42	81
-41	70
-40	66
-39	75
-38	60
-37	88
-36	188
-35	109
-34	100
-33	151
-32	142
-31	106
-30	244
-29	129
-28	169
-27	282
-26	204
-25	202
-24	371
-23	227
-22	341
-21	462
-20	470
-19	463
-18	941
-17	732
-16	798
-15	1084
-14	1096
-13	1214
-12	2097
-11	2206
-10	2717
-9	4588
-8	4854
-7	6818
-6	10947
-5	15799
-4	29339
-3	47693
-2	89328
-1	130109
1	145888
2	105008
3	62795
4	40369
5	22915
6	18157
7	11622
8	9428
9	9079
10	5904
11	4943
12	4965
13	3470
14	3052
15	3048
16	2474
17	2446
18	2678
19	1846
20	1784
21	1723
22	1379
23	1309
24	1400
25	1069
26	1155
27	1307
28	942
29	795
30	848
31	621
32	647
33	684
34	535
35	607
36	685
37	481
38	454
39	442
40	399
41	340
42	380
43	314
44	344
45	433
46	302
47	273
48	293
49	221
50	232
51	262
52	232
53	235
54	277
55	204
56	155
57	197
58	160
59	145
60	6732
