# [1]Indel length	[2]Count
-60	579
-59	8
-58	10
-57	13
-56	22
-55	14
-54	37
-53	17
-52	25
-51	22
-50	19
-49	28
-48	48
-47	21
-46	23
-45	57
-44	27
-43	32
-42	51
-41	25
-40	38
-39	45
-38	27
-37	36
-36	113
-35	53
-34	45
-33	60
-32	74
-31	47
-30	129
-29	40
-28	71
-27	138
-26	85
-25	69
-24	153
-23	75
-22	126
-21	156
-20	169
-19	135
-18	352
-17	229
-16	237
-15	241
-14	216
-13	212
-12	336
-11	302
-10	347
-9	612
-8	494
-7	600
-6	717
-5	777
-4	1008
-3	1709
-2	3056
-1	22678
1	7631
2	2212
3	1415
4	962
5	686
6	720
7	513
8	518
9	565
10	374
11	285
12	356
13	231
14	228
15	235
16	288
17	237
18	282
19	132
20	171
21	158
22	138
23	83
24	161
25	68
26	93
27	127
28	89
29	62
30	117
31	50
32	77
33	70
34	76
35	53
36	85
37	49
38	60
39	46
40	66
41	39
42	58
43	26
44	30
45	45
46	28
47	27
48	39
49	28
50	17
51	41
52	32
53	15
54	33
55	22
56	24
57	18
58	15
59	15
60	837
