ind,continent,Pop,admix
Pd_02,N_America,pop1,0.000122783647384495
Pd_02,N_America,pop2,0.000122783647384495
Pd_02,N_America,pop3,0.0327271744608879
Pd_02,N_America,pop4,0.966781675815582
Pd_02,N_America,pop5,0.000122783647384495
Pd_02,N_America,pop6,0.000122783647384495
Pd_03,Europe,pop1,0.000106482293631416
Pd_03,Europe,pop2,0.000106482293631416
Pd_03,Europe,pop3,0.699668109416962
Pd_03,Europe,pop4,0.299905955791473
Pd_03,Europe,pop5,0.000106482293631416
Pd_03,Europe,pop6,0.000106482293631416
Pd_04,Europe,pop1,0.000101702404208481
Pd_04,Europe,pop2,0.000101702404208481
Pd_04,Europe,pop3,0.916937410831451
Pd_04,Europe,pop4,0.0814177021384239
Pd_04,Europe,pop5,0.00133981602266431
Pd_04,Europe,pop6,0.000101702404208481
Pd_05,Europe,pop1,0.000101625366369262
Pd_05,Europe,pop2,0.000101625366369262
Pd_05,Europe,pop3,0.913047730922699
Pd_05,Europe,pop4,0.0855047479271889
Pd_05,Europe,pop5,0.00114267389290035
Pd_05,Europe,pop6,0.000101625366369262
Pd_06,Europe,pop1,0.000103663696791045
Pd_06,Europe,pop2,0.000103663696791045
Pd_06,Europe,pop3,0.902355194091797
Pd_06,Europe,pop4,0.0972301438450813
Pd_06,Europe,pop5,0.000103663696791045
Pd_06,Europe,pop6,0.000103663696791045
Pd_07,N_America,pop1,0.000129345353343524
Pd_07,N_America,pop2,0.000129345353343524
Pd_07,N_America,pop3,0.000348527100868523
Pd_07,N_America,pop4,0.999134063720703
Pd_07,N_America,pop5,0.000129345353343524
Pd_07,N_America,pop6,0.000129345353343524
Pd_08,N_America,pop1,0.000129269494209439
Pd_08,N_America,pop2,0.000129269494209439
Pd_08,N_America,pop3,0.000467087258584797
Pd_08,N_America,pop4,0.999015748500824
Pd_08,N_America,pop5,0.000129269494209439
Pd_08,N_America,pop6,0.000129269494209439
Pd_09,N_America,pop1,0.000129295061924495
Pd_09,N_America,pop2,0.000129295061924495
Pd_09,N_America,pop3,0.000295157951768488
Pd_09,N_America,pop4,0.999187648296356
Pd_09,N_America,pop5,0.000129295061924495
Pd_09,N_America,pop6,0.000129295061924495
Pd_10,N_America,pop1,0.000129277890664525
Pd_10,N_America,pop2,0.000129277890664525
Pd_10,N_America,pop3,0.000296168669592589
Pd_10,N_America,pop4,0.99918669462204
Pd_10,N_America,pop5,0.000129277890664525
Pd_10,N_America,pop6,0.000129277890664525
Pd_11,N_America,pop1,0.00012931007950101
Pd_11,N_America,pop2,0.00012931007950101
Pd_11,N_America,pop3,0.000267627532593906
Pd_11,N_America,pop4,0.999215066432953
Pd_11,N_America,pop5,0.00012931007950101
Pd_11,N_America,pop6,0.00012931007950101
Pd_12,N_America,pop1,0.000129376276163384
Pd_12,N_America,pop2,0.000129376276163384
Pd_12,N_America,pop3,0.00035152182681486
Pd_12,N_America,pop4,0.99913090467453
Pd_12,N_America,pop5,0.000129376276163384
Pd_12,N_America,pop6,0.000129376276163384
Pd_13,N_America,pop1,0.000129371794173494
Pd_13,N_America,pop2,0.000129371794173494
Pd_13,N_America,pop3,0.000169841747265309
Pd_13,N_America,pop4,0.99931263923645
Pd_13,N_America,pop5,0.000129371794173494
Pd_13,N_America,pop6,0.000129371794173494
Pd_14,N_America,pop1,0.000129460473544896
Pd_14,N_America,pop2,0.000129460473544896
Pd_14,N_America,pop3,0.000129460473544896
Pd_14,N_America,pop4,0.999352693557739
Pd_14,N_America,pop5,0.000129460473544896
Pd_14,N_America,pop6,0.000129460473544896
Pd_15,N_America,pop1,0.000129190433654003
Pd_15,N_America,pop2,0.000129190433654003
Pd_15,N_America,pop3,0.000600664992816746
Pd_15,N_America,pop4,0.998882532119751
Pd_15,N_America,pop5,0.000129190433654003
Pd_15,N_America,pop6,0.000129190433654003
Pd_16,N_America,pop1,0.000129061081679538
Pd_16,N_America,pop2,0.000129061081679538
Pd_16,N_America,pop3,0.000600396888330579
