ind,continent,country,state,Pop,admix
Pd_02,N_America,USA,Wisconsin,pop1,0.000179041700903326
Pd_02,N_America,USA,Wisconsin,pop2,9.71613480942324e-05
Pd_02,N_America,USA,Wisconsin,pop3,0.000106286031950731
Pd_02,N_America,USA,Wisconsin,pop4,0.0275172293186188
Pd_02,N_America,USA,Wisconsin,pop5,9.71613480942324e-05
Pd_02,N_America,USA,Wisconsin,pop6,9.71613480942324e-05
Pd_02,N_America,USA,Wisconsin,pop7,9.71613480942324e-05
Pd_02,N_America,USA,Wisconsin,pop8,9.71613480942324e-05
Pd_02,N_America,USA,Wisconsin,pop9,9.71613480942324e-05
Pd_02,N_America,USA,Wisconsin,pop10,0.971516370773315
Pd_02,N_America,USA,Wisconsin,pop11,9.81387129286304e-05
Pd_07,N_America,Canada,Ontario,pop1,9.94821748463437e-05
Pd_07,N_America,Canada,Ontario,pop2,0.958792209625244
Pd_07,N_America,Canada,Ontario,pop3,0.00349514302797616
Pd_07,N_America,Canada,Ontario,pop4,0.0057259202003479
Pd_07,N_America,Canada,Ontario,pop5,9.94821748463437e-05
Pd_07,N_America,Canada,Ontario,pop6,9.94821748463437e-05
Pd_07,N_America,Canada,Ontario,pop7,0.0312862955033779
Pd_07,N_America,Canada,Ontario,pop8,9.94821748463437e-05
Pd_07,N_America,Canada,Ontario,pop9,9.94821748463437e-05
Pd_07,N_America,Canada,Ontario,pop10,0.000103516205854248
Pd_07,N_America,Canada,Ontario,pop11,9.94821748463437e-05
Pd_08,N_America,Canada,Ontario,pop1,9.97808238025755e-05
Pd_08,N_America,Canada,Ontario,pop2,0.927616715431213
Pd_08,N_America,Canada,Ontario,pop3,9.97808238025755e-05
Pd_08,N_America,Canada,Ontario,pop4,0.000184367861947976
Pd_08,N_America,Canada,Ontario,pop5,9.97808238025755e-05
Pd_08,N_America,Canada,Ontario,pop6,9.97808238025755e-05
Pd_08,N_America,Canada,Ontario,pop7,9.97808238025755e-05
Pd_08,N_America,Canada,Ontario,pop8,0.0325587801635265
Pd_08,N_America,Canada,Ontario,pop9,9.97808238025755e-05
Pd_08,N_America,Canada,Ontario,pop10,0.000101633471786045
Pd_08,N_America,Canada,Ontario,pop11,0.0389397479593754
Pd_09,N_America,Canada,Nova Scotia,pop1,0.00548110296949744
Pd_09,N_America,Canada,Nova Scotia,pop2,0.97393411397934
Pd_09,N_America,Canada,Nova Scotia,pop3,9.98798495857045e-05
Pd_09,N_America,Canada,Nova Scotia,pop4,0.000950815563555807
Pd_09,N_America,Canada,Nova Scotia,pop5,9.98798495857045e-05
Pd_09,N_America,Canada,Nova Scotia,pop6,9.98798495857045e-05
Pd_09,N_America,Canada,Nova Scotia,pop7,9.98798495857045e-05
Pd_09,N_America,Canada,Nova Scotia,pop8,0.00519012752920389
Pd_09,N_America,Canada,Nova Scotia,pop9,9.98798495857045e-05
Pd_09,N_America,Canada,Nova Scotia,pop10,0.000101421326689888
Pd_09,N_America,Canada,Nova Scotia,pop11,0.0138429859653115
Pd_10,N_America,Canada,Nova Scotia,pop1,0.00064361363183707
Pd_10,N_America,Canada,Nova Scotia,pop2,0.931434333324432
Pd_10,N_America,Canada,Nova Scotia,pop3,9.92295317701064e-05
Pd_10,N_America,Canada,Nova Scotia,pop4,0.0081285173073411
Pd_10,N_America,Canada,Nova Scotia,pop5,0.000119676064059604
Pd_10,N_America,Canada,Nova Scotia,pop6,0.0134173100814223
Pd_10,N_America,Canada,Nova Scotia,pop7,0.0453896299004555
Pd_10,N_America,Canada,Nova Scotia,pop8,9.92295317701064e-05
Pd_10,N_America,Canada,Nova Scotia,pop9,9.92295317701064e-05
Pd_10,N_America,Canada,Nova Scotia,pop10,0.000469976861495525
Pd_10,N_America,Canada,Nova Scotia,pop11,9.92295317701064e-05
Pd_11,N_America,Canada,Prince Edward Island,pop1,9.04396365513094e-05
Pd_11,N_America,Canada,Prince Edward Island,pop2,0.172694906592369
Pd_11,N_America,Canada,Prince Edward Island,pop3,0.0130886416882277
Pd_11,N_America,Canada,Prince Edward Island,pop4,0.0198939628899097
Pd_11,N_America,Canada,Prince Edward Island,pop5,0.171635016798973
Pd_11,N_America,Canada,Prince Edward Island,pop6,0.217462167143822
Pd_11,N_America,Canada,Prince Edward Island,pop7,0.0617421418428421
Pd_11,N_America,Canada,Prince Edward Island,pop8,0.0219000242650509
Pd_11,N_America,Canada,Prince Edward Island,pop9,0.181073293089867
Pd_11,N_America,Canada,Prince Edward Island,pop10,0.140335232019424
Pd_11,N_America,Canada,Prince Edward Island,pop11,8.41318760649301e-05
Pd_12,N_America,Canada,Ontario,pop1,0.00137398473452777
Pd_12,N_America,Canada,Ontario,pop2,0.997175335884094
Pd_12,N_America,Canada,Ontario,pop3,0.000287975097307935
Pd_12,N_America,Canada,Ontario,pop4,0.000103019097878132
Pd_12,N_America,Canada,Ontario,pop5,0.000100068391475361
Pd_12,N_America,Canada,Ontario,pop6,0.000100068391475361
Pd_12,N_America,Canada,Ontario,pop7,0.000100068391475361
Pd_12,N_America,Canada,Ontario,pop8,0.000100068391475361
Pd_12,N_America,Canada,Ontario,pop9,0.000100068391475361
Pd_12,N_America,Canada,Ontario,pop10,0.000459279312053695
Pd_12,N_America,Canada,Ontario,pop11,0.000100068391475361
Pd_13,N_America,Canada,New Brunswick,pop1,0.0118091497570276
Pd_13,N_America,Canada,New Brunswick,pop2,0.788614809513092
Pd_13,N_America,Canada,New Brunswick,pop3,0.00261047133244574
Pd_13,N_America,Canada,New Brunswick,pop4,0.00222165137529373
Pd_13,N_America,Canada,New Brunswick,pop5,0.0574524216353893
Pd_13,N_America,Canada,New Brunswick,pop6,0.0395198725163937
Pd_13,N_America,Canada,New Brunswick,pop7,9.5522147603333e-05
Pd_13,N_America,Canada,New Brunswick,pop8,0.00186650501564145
Pd_13,N_America,Canada,New Brunswick,pop9,0.0511477403342724
Pd_13,N_America,Canada,New Brunswick,pop10,0.0445662848651409
Pd_13,N_America,Canada,New Brunswick,pop11,9.5522147603333e-05
Pd_14,N_America,Canada,New Brunswick,pop1,0.000246008363319561
Pd_14,N_America,Canada,New Brunswick,pop2,0.0477686934173107
Pd_14,N_America,Canada,New Brunswick,pop3,0.0033168587833643
Pd_14,N_America,Canada,New Brunswick,pop4,0.0161037221550941
Pd_14,N_America,Canada,New Brunswick,pop5,0.221776738762856
Pd_14,N_America,Canada,New Brunswick,pop6,0.221278503537178
Pd_14,N_America,Canada,New Brunswick,pop7,0.017873952165246
Pd_14,N_America,Canada,New Brunswick,pop8,0.0258001778274775
Pd_14,N_America,Canada,New Brunswick,pop9,0.233213871717453
Pd_14,N_America,Canada,New Brunswick,pop10,0.178164601325989
Pd_14,N_America,Canada,New Brunswick,pop11,0.0344569087028503
Pd_15,N_America,Canada,New Brunswick,pop1,8.41131768538617e-05
Pd_15,N_America,Canada,New Brunswick,pop2,0.137178033590317
Pd_15,N_America,Canada,New Brunswick,pop3,0.00618820125237107
Pd_15,N_America,Canada,New Brunswick,pop4,0.014855551533401
Pd_15,N_America,Canada,New Brunswick,pop5,0.208982035517693
Pd_15,N_America,Canada,New Brunswick,pop6,0.0937573164701462
