ind,continent,country,state,year,Pop,admix
Pd_02,N_America,USA,Wisconsin,2016,pop01,0.000100299126643222
Pd_02,N_America,USA,Wisconsin,2016,pop02,0.000100299126643222
Pd_02,N_America,USA,Wisconsin,2016,pop03,0.000100299126643222
Pd_02,N_America,USA,Wisconsin,2016,pop04,0.999398171901703
Pd_02,N_America,USA,Wisconsin,2016,pop05,0.000100299126643222
Pd_02,N_America,USA,Wisconsin,2016,pop06,0.000100299126643222
Pd_02,N_America,USA,Wisconsin,2016,pop07,0.000100299126643222
Pd_07,N_America,Canada,Ontario,2015,pop01,9.99957774183713e-05
Pd_07,N_America,Canada,Ontario,2015,pop02,0.00696313194930553
Pd_07,N_America,Canada,Ontario,2015,pop03,9.99957774183713e-05
Pd_07,N_America,Canada,Ontario,2015,pop04,0.000112758745672181
Pd_07,N_America,Canada,Ontario,2015,pop05,0.00230344920419157
Pd_07,N_America,Canada,Ontario,2015,pop06,0.99032074213028
Pd_07,N_America,Canada,Ontario,2015,pop07,9.99957774183713e-05
Pd_08,N_America,Canada,Ontario,2015,pop01,9.86158920568414e-05
Pd_08,N_America,Canada,Ontario,2015,pop02,9.86158920568414e-05
Pd_08,N_America,Canada,Ontario,2015,pop03,0.0543136782944202
Pd_08,N_America,Canada,Ontario,2015,pop04,0.0127304522320628
Pd_08,N_America,Canada,Ontario,2015,pop05,0.0238540098071098
Pd_08,N_America,Canada,Ontario,2015,pop06,0.908806025981903
Pd_08,N_America,Canada,Ontario,2015,pop07,9.86158920568414e-05
Pd_09,N_America,Canada,Nova Scotia,2013,pop01,0.000550671713426709
Pd_09,N_America,Canada,Nova Scotia,2013,pop02,9.99007097561844e-05
Pd_09,N_America,Canada,Nova Scotia,2013,pop03,0.0285218674689531
Pd_09,N_America,Canada,Nova Scotia,2013,pop04,0.00114146200940013
Pd_09,N_America,Canada,Nova Scotia,2013,pop05,0.000100655204732902
Pd_09,N_America,Canada,Nova Scotia,2013,pop06,0.969485521316528
Pd_09,N_America,Canada,Nova Scotia,2013,pop07,9.99007097561844e-05
Pd_10,N_America,Canada,Nova Scotia,2013,pop01,0.000343191291904077
Pd_10,N_America,Canada,Nova Scotia,2013,pop02,0.000500463414937258
Pd_10,N_America,Canada,Nova Scotia,2013,pop03,0.000911905022803694
Pd_10,N_America,Canada,Nova Scotia,2013,pop04,0.00295594893395901
Pd_10,N_America,Canada,Nova Scotia,2013,pop05,0.00870574172586203
Pd_10,N_America,Canada,Nova Scotia,2013,pop06,0.946730971336365
Pd_10,N_America,Canada,Nova Scotia,2013,pop07,0.0398517958819866
Pd_11,N_America,Canada,Prince Edward Island,2013,pop01,0.000100351498986129
Pd_11,N_America,Canada,Prince Edward Island,2013,pop02,0.00294857169501483
Pd_11,N_America,Canada,Prince Edward Island,2013,pop03,9.99433250399306e-05
Pd_11,N_America,Canada,Prince Edward Island,2013,pop04,0.000610864080954343
Pd_11,N_America,Canada,Prince Edward Island,2013,pop05,0.00884947367012501
Pd_11,N_America,Canada,Prince Edward Island,2013,pop06,0.114032655954361
Pd_11,N_America,Canada,Prince Edward Island,2013,pop07,0.873358130455017
Pd_12,N_America,Canada,Ontario,2015,pop01,0.000100569828646258
Pd_12,N_America,Canada,Ontario,2015,pop02,0.000213052830076776
Pd_12,N_America,Canada,Ontario,2015,pop03,0.000100093733635731
Pd_12,N_America,Canada,Ontario,2015,pop04,0.000100093733635731
Pd_12,N_America,Canada,Ontario,2015,pop05,0.000100093733635731
Pd_12,N_America,Canada,Ontario,2015,pop06,0.999243378639221
Pd_12,N_America,Canada,Ontario,2015,pop07,0.000142681994475424
Pd_13,N_America,Canada,New Brunswick,2015,pop01,0.00305993319489062
Pd_13,N_America,Canada,New Brunswick,2015,pop02,0.00225122855044901
Pd_13,N_America,Canada,New Brunswick,2015,pop03,0.000100100798590574
Pd_13,N_America,Canada,New Brunswick,2015,pop04,0.000100100798590574
Pd_13,N_America,Canada,New Brunswick,2015,pop05,0.000100100798590574
Pd_13,N_America,Canada,New Brunswick,2015,pop06,0.791775226593018
Pd_13,N_America,Canada,New Brunswick,2015,pop07,0.202613294124603
Pd_14,N_America,Canada,New Brunswick,2012,pop01,0.000103526086604688
Pd_14,N_America,Canada,New Brunswick,2012,pop02,0.000100835248304065
Pd_14,N_America,Canada,New Brunswick,2012,pop03,0.000101453879324254
Pd_14,N_America,Canada,New Brunswick,2012,pop04,0.00308737368322909
Pd_14,N_America,Canada,New Brunswick,2012,pop05,9.99152398435399e-05
Pd_14,N_America,Canada,New Brunswick,2012,pop06,9.99152398435399e-05
Pd_14,N_America,Canada,New Brunswick,2012,pop07,0.996407032012939
Pd_15,N_America,Canada,New Brunswick,2013,pop01,9.92167260847054e-05
Pd_15,N_America,Canada,New Brunswick,2013,pop02,9.92167260847054e-05
Pd_15,N_America,Canada,New Brunswick,2013,pop03,0.155750751495361
Pd_15,N_America,Canada,New Brunswick,2013,pop04,0.0124702900648117
Pd_15,N_America,Canada,New Brunswick,2013,pop05,0.00891696661710739
Pd_15,N_America,Canada,New Brunswick,2013,pop06,0.0506432168185711
Pd_15,N_America,Canada,New Brunswick,2013,pop07,0.77202033996582
Pd_16,N_America,Canada,New Brunswick,2012,pop01,9.97485985863023e-05
Pd_16,N_America,Canada,New Brunswick,2012,pop02,0.000103508238680661
Pd_16,N_America,Canada,New Brunswick,2012,pop03,0.127400636672974
Pd_16,N_America,Canada,New Brunswick,2012,pop04,0.00828182604163885
Pd_16,N_America,Canada,New Brunswick,2012,pop05,0.000101340745459311
Pd_16,N_America,Canada,New Brunswick,2012,pop06,0.0498054064810276
Pd_16,N_America,Canada,New Brunswick,2012,pop07,0.814207553863525
Pd_17,N_America,Canada,New Brunswick,2012,pop01,0.000100895631476305
Pd_17,N_America,Canada,New Brunswick,2012,pop02,0.0010155604686588
Pd_17,N_America,Canada,New Brunswick,2012,pop03,0.000100042401754763
Pd_17,N_America,Canada,New Brunswick,2012,pop04,0.000100042401754763
Pd_17,N_America,Canada,New Brunswick,2012,pop05,0.000100042401754763
Pd_17,N_America,Canada,New Brunswick,2012,pop06,0.000100042401754763
Pd_17,N_America,Canada,New Brunswick,2012,pop07,0.99848335981369
Pd_19,N_America,Canada,New Brunswick,2013,pop01,9.94883157545701e-05
Pd_19,N_America,Canada,New Brunswick,2013,pop02,0.0205982942134142
Pd_19,N_America,Canada,New Brunswick,2013,pop03,0.00966398604214191
Pd_19,N_America,Canada,New Brunswick,2013,pop04,0.0169330090284348
Pd_19,N_America,Canada,New Brunswick,2013,pop05,0.0307304672896862
Pd_19,N_America,Canada,New Brunswick,2013,pop06,0.156276851892471
Pd_19,N_America,Canada,New Brunswick,2013,pop07,0.765697956085205
Pd_20,N_America,Canada,New Brunswick,2013,pop01,0.0118486108258367
Pd_20,N_America,Canada,New Brunswick,2013,pop02,9.99486583168618e-05
Pd_20,N_America,Canada,New Brunswick,2013,pop03,9.99486583168618e-05
Pd_20,N_America,Canada,New Brunswick,2013,pop04,9.99486583168618e-05
Pd_20,N_America,Canada,New Brunswick,2013,pop05,0.00656397035345435
Pd_20,N_America,Canada,New Brunswick,2013,pop06,0.136339962482452
Pd_20,N_America,Canada,New Brunswick,2013,pop07,0.844947576522827
Pd_21,N_America,Canada,New Brunswick,2013,pop01,0.00785650219768286
Pd_21,N_America,Canada,New Brunswick,2013,pop02,9.99207622953691e-05
Pd_21,N_America,Canada,New Brunswick,2013,pop03,9.99207622953691e-05
Pd_21,N_America,Canada,New Brunswick,2013,pop04,9.99207622953691e-05
Pd_21,N_America,Canada,New Brunswick,2013,pop05,0.019941084086895
Pd_21,N_America,Canada,New Brunswick,2013,pop06,0.971802651882172
Pd_21,N_America,Canada,New Brunswick,2013,pop07,9.99207622953691e-05
Pd_22,N_America,Canada,New Brunswick,2013,pop01,9.8915166745428e-05
Pd_22,N_America,Canada,New Brunswick,2013,pop02,0.000151193424244411
Pd_22,N_America,Canada,New Brunswick,2013,pop03,0.000100729186669923
Pd_22,N_America,Canada,New Brunswick,2013,pop04,0.0117594329640269
Pd_22,N_America,Canada,New Brunswick,2013,pop05,0.0186320506036282
Pd_22,N_America,Canada,New Brunswick,2013,pop06,0.162523359060287
Pd_22,N_America,Canada,New Brunswick,2013,pop07,0.806734263896942
Pd_23,N_America,USA,New York,2008,pop01,9.90186308627017e-05
Pd_23,N_America,USA,New York,2008,pop02,9.90186308627017e-05
