ind,group,continent,country,state,year,Pop,admix
Pd_02,group2,N_America,USA,Wisconsin,2016,pop01,0.958681404590607
Pd_02,group2,N_America,USA,Wisconsin,2016,pop02,0.00010043377551483
Pd_02,group2,N_America,USA,Wisconsin,2016,pop03,0.0393419712781906
Pd_02,group2,N_America,USA,Wisconsin,2016,pop04,0.00010043377551483
Pd_02,group2,N_America,USA,Wisconsin,2016,pop05,0.00116236484609544
Pd_02,group2,N_America,USA,Wisconsin,2016,pop06,0.000512897502630949
Pd_02,group2,N_America,USA,Wisconsin,2016,pop07,0.00010043377551483
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop01,0.306370079517365
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop02,0.000100168290373404
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop03,0.693129003047943
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop04,0.000100168290373404
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop05,0.000100168290373404
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop06,0.000100168290373404
Pd_03,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop07,0.000100168290373404
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop01,0.14780193567276
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop02,0.000100206765637267
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop03,0.851696968078613
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop04,0.000100206765637267
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop05,0.000100206765637267
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop06,0.000100206765637267
Pd_04,Europe,Europe,Czech Republic,Central Bohemian Region,2010,pop07,0.000100206765637267
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop01,0.0921984687447548
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop02,0.000100083678262308
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop03,0.907301068305969
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop04,0.000100083678262308
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop05,0.000100083678262308
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop06,0.000100083678262308
Pd_05,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop07,0.000100083678262308
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop01,0.194354668259621
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop02,9.96652743197046e-05
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop03,0.805146932601929
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop04,9.96652743197046e-05
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop05,9.96652743197046e-05
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop06,9.96652743197046e-05
Pd_06,Europe,Europe,Czech Republic,Hradec Kralove,2011,pop07,9.96652743197046e-05
Pd_07,group1,N_America,Canada,Ontario,2015,pop01,0.999400198459625
Pd_07,group1,N_America,Canada,Ontario,2015,pop02,9.99500116449781e-05
Pd_07,group1,N_America,Canada,Ontario,2015,pop03,9.99500116449781e-05
Pd_07,group1,N_America,Canada,Ontario,2015,pop04,9.99500116449781e-05
Pd_07,group1,N_America,Canada,Ontario,2015,pop05,9.99500116449781e-05
Pd_07,group1,N_America,Canada,Ontario,2015,pop06,9.99500116449781e-05
Pd_07,group1,N_America,Canada,Ontario,2015,pop07,9.99500116449781e-05
Pd_08,group1,N_America,Canada,Ontario,2015,pop01,0.999400198459625
Pd_08,group1,N_America,Canada,Ontario,2015,pop02,9.99500116449781e-05
Pd_08,group1,N_America,Canada,Ontario,2015,pop03,9.99500116449781e-05
Pd_08,group1,N_America,Canada,Ontario,2015,pop04,9.99500116449781e-05
Pd_08,group1,N_America,Canada,Ontario,2015,pop05,9.99500116449781e-05
Pd_08,group1,N_America,Canada,Ontario,2015,pop06,9.99500116449781e-05
Pd_08,group1,N_America,Canada,Ontario,2015,pop07,9.99500116449781e-05
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop01,0.999400198459625
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop02,9.99500116449781e-05
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop03,9.99500116449781e-05
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop04,9.99500116449781e-05
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop05,9.99500116449781e-05
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop06,9.99500116449781e-05
Pd_09,group1,N_America,Canada,Nova Scotia,2013,pop07,9.99500116449781e-05
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop01,0.999400198459625
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop02,9.99500116449781e-05
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop03,9.99500116449781e-05
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop04,9.99500116449781e-05
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop05,9.99500116449781e-05
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop06,9.99500116449781e-05
Pd_10,group1,N_America,Canada,Nova Scotia,2013,pop07,9.99500116449781e-05
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop01,0.999400198459625
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop02,9.99500116449781e-05
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop03,9.99500116449781e-05
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop04,9.99500116449781e-05
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop05,9.99500116449781e-05
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop06,9.99500116449781e-05
Pd_11,group1,N_America,Canada,Prince Edward Island,2013,pop07,9.99500116449781e-05
Pd_12,group1,N_America,Canada,Ontario,2015,pop01,0.999400198459625
Pd_12,group1,N_America,Canada,Ontario,2015,pop02,9.99500116449781e-05
Pd_12,group1,N_America,Canada,Ontario,2015,pop03,9.99500116449781e-05
Pd_12,group1,N_America,Canada,Ontario,2015,pop04,9.99500116449781e-05
Pd_12,group1,N_America,Canada,Ontario,2015,pop05,9.99500116449781e-05
Pd_12,group1,N_America,Canada,Ontario,2015,pop06,9.99500116449781e-05
Pd_12,group1,N_America,Canada,Ontario,2015,pop07,9.99500116449781e-05
Pd_13,group1,N_America,Canada,New Brunswick,2015,pop01,0.999400198459625
Pd_13,group1,N_America,Canada,New Brunswick,2015,pop02,9.99500116449781e-05
Pd_13,group1,N_America,Canada,New Brunswick,2015,pop03,9.99500116449781e-05
Pd_13,group1,N_America,Canada,New Brunswick,2015,pop04,9.99500116449781e-05
