individuals,names,year,continent,country,state,location,group_names
Pd_02,26994-002,2016,N_America,USA,Wisconsin, Iowa County,group2
Pd_03,Pseudogymnoascus_destructans_CCF3941,2010,Europe,Czech Republic,Central Bohemian Region,Mala Amerika,Europe
Pd_04,Pseudogymnoascus_destructans_CCF3942,2010,Europe,Czech Republic,Central Bohemian Region,Mala Amerika,Europe
Pd_05,Pseudogymnoascus_destructans_CCF4124,2011,Europe,Czech Republic,Hradec Kralove,Horni Alberice,Europe
Pd_06,Pseudogymnoascus_destructans_CCF4125,2011,Europe,Czech Republic,Hradec Kralove,Horni Alberice,Europe
Pd_07,Pd_UWMM.03,2015,N_America,Canada,Ontario,Thunder Bay,group1
Pd_08,Pd_UWMM.13,2015,N_America,Canada,Ontario,Thunder Bay,group1
Pd_09,Pd_X4702.13.1,2013,N_America,Canada,Nova Scotia,NA,group1
Pd_10,Pd_X4702.13.2,2013,N_America,Canada,Nova Scotia,NA,group1
Pd_11,Pd_X4148.13,2013,N_America,Canada,Prince Edward Island,NA,group1
Pd_12,Pd_UWMM.14,2015,N_America,Canada,Ontario,Thunder Bay,group1
Pd_13,Pd_WO2109,2015,N_America,Canada,New Brunswick,White Cave,group1
Pd_14,Pd_671202,2012,N_America,Canada,New Brunswick,Glebe Mine,group1
Pd_15,Pd_681103,2013,N_America,Canada,New Brunswick,Glebe Mine,group1
Pd_16,Pd_102203,2012,N_America,Canada,New Brunswick,White Cave,group1
Pd_17,Pd_192204,2012,N_America,Canada,New Brunswick,Markhamville Mine,group1
Pd_18,Pd_European,2009,Europe,Germany,Thuringa,NA,Europe
Pd_19,Pd_H07218,2013,N_America,Canada,New Brunswick,Dorchester Mine,group1
Pd_20,Pd_692102,2013,N_America,Canada,New Brunswick,Markhamville Mine,group1
Pd_21,Pd_712206,2013,N_America,Canada,New Brunswick,Markhamville Mine,group1
Pd_22,Pd_M53205,2013,N_America,Canada,New Brunswick,Glebe Mine,group1
Pd_23,Pd_N_American,2008,N_America,USA,New York,Williams Hotel,group1
Pd_24,Pd_52201,2012,N_America,Canada,New Brunswick,White Cave,group1
Pd_26,NB26,2012,N_America,Canada,New Brunswick,Dorchester Mine,group1
Pd_27,PE8,2012,N_America,Canada,Prince Edward Island,Murray River,group1
Pd_28,Pseudogymnoascus_destructans_20631-21,2008,N_America,USA,New York,Williams Hotel Mine,group1
Pd_29,Pseudogymnoascus_24MN13,2008,N_America,USA,Minnesota,NA,P. species
Pd_30,Pseudogymnoascus_WSF_3629,1960,N_America,USA,Wisconsin,NA,P. species
Pd_31,Pseudogymnoascus_verrucosus_UAMH_10579,2002,N_America,Canada,Alberta,NA,P. species
Pd_32,Pseudogymnoascus_3VT5,2008,N_America,USA,Vermont,NA,P. species
Pd_33,Pseudogymnoascus_5NY8,2008,N_America,USA,New York,NA,P. species
Pd_34,Pseudogymnoascus_23342,2008,N_America,USA,Wisconsin,NA,P. species
Pd_35,Pseudogymnoascus_24MN13,2008,N_America,USA,Minnesota,NA,P. species
Pd_36,BROAD:SEQUENCING_SAMPLE:37145.0,2009,N_America,USA,New York,Williams Hotel Mine,lab_clone
Pd_37,BROAD:SEQUENCING_SAMPLE:37145.0,2009,N_America,USA,New York,Williams Hotel Mine,lab_clone
Pd_39,BROAD:SEQUENCING_SAMPLE:37145.0,2009,N_America,USA,New York,Williams Hotel Mine,lab_clone
