individuals,x,y
Pd_02,-90.0922,43.0274
Pd_07,-89.22738373,48.49862786
Pd_08,-89.22738373,48.49862786
Pd_09,-63.83020617,45.00312591
Pd_10,-63.83020617,45.00312591
Pd_11,-62.618593,46.011942
Pd_12,-89.22738373,48.49862786
Pd_13,-64.671138,45.913154
Pd_14,-65.6105,45.8172
Pd_15,-65.6105,45.8172
Pd_16,-64.671138,45.913154
Pd_17,-65.43991,45.61596
Pd_19,-64.47694,45.93694
Pd_20,-65.43991,45.61596
Pd_21,-65.43991,45.61596
Pd_22,-65.6105,45.8172
Pd_23,-74.09854816,41.84451537
Pd_24,-64.671138,45.913154
Pd_26,-64.47694,45.93694
Pd_27,-62.618593,46.011942
Pd_28,-74.09854816,41.84451537
Pd_49,-77.386111,40.888611
Pd_50,-74.96885541,40.87738565
Pd_51,-79.430161,38.664936
Pd_52,-80.100126,48.174337
Pd_53,-87.304069,36.555459
Pd_54,-73.226607,42.87199
Pd_55,-73.158474,41.745701
Pd_56,-80.756189,37.322157
Pd_57,-73.226242,42.592351
Pd_58,-86.220835,34.574328
Pd_62,-73.158474,41.745701
Pd_63,-82.328933,36.509321
Pd_64,-78.82067,39.69717
Pd_65,-74.28848912,41.94997136
Pd_66,-72.942555,43.45117
Pd_67,-80.100126,48.174337
Pd_68,-84.971274,36.465316
Pd_72,-64.47694,45.93694
Pd_73,-90.88167,39.04861
Pd_74,-82.63946944,36.96823406
Pd_75,-87.304069,36.555459
Pd_76,-86.29491,38.22991
Pd_77,-86.23360382,38.70202644
Pd_78,-75.5638,39.8387
Pd_79,-68.21107,44.349652
Pd_82,-79.911533,43.468915
Pd_83,-64.167955,44.992969
Pd_84,-66.05055,45.30029
Pd_85,-64.47694,45.93694
