ids,year
Pd_02,2016
Pd_07,2015
Pd_08,2015
Pd_09,2013
Pd_10,2013
Pd_11,2013
Pd_12,2015
Pd_13,2015
Pd_14,2012
Pd_15,2013
Pd_16,2012
Pd_17,2012
Pd_19,2013
Pd_20,2013
Pd_21,2013
Pd_22,2013
Pd_23,2008
Pd_24,2012
Pd_26,2012
Pd_27,2012
Pd_28,2008
Pd_49,2009
Pd_50,2009
Pd_51,2009
Pd_52,2010
Pd_53,2010
Pd_54,2008
Pd_55,2009
Pd_56,2009
Pd_57,2008
Pd_58,2015
Pd_59,2016
Pd_62,2008
Pd_63,2010
Pd_64,2010
Pd_65,2009
Pd_66,2010
Pd_67,2010
Pd_68,2010
Pd_72,2012
Pd_73,2012
Pd_74,2011
Pd_75,2011
Pd_76,2011
Pd_77,2011
Pd_78,2012
Pd_79,2011
Pd_82,2014
Pd_83,2013
Pd_84,2012
Pd_85,2012
