ind,continent,country,state,year,Pop,admix
Pd_02,N_America,USA,Wisconsin,2016,pop04,0.999398171901703
Pd_07,N_America,Canada,Ontario,2015,pop06,0.99032074213028
Pd_08,N_America,Canada,Ontario,2015,pop06,0.908806025981903
Pd_09,N_America,Canada,Nova Scotia,2013,pop06,0.969485521316528
Pd_10,N_America,Canada,Nova Scotia,2013,pop06,0.946730971336365
Pd_11,N_America,Canada,Prince Edward Island,2013,pop07,0.873358130455017
Pd_12,N_America,Canada,Ontario,2015,pop06,0.999243378639221
Pd_13,N_America,Canada,New Brunswick,2015,pop06,0.791775226593018
Pd_14,N_America,Canada,New Brunswick,2012,pop07,0.996407032012939
Pd_15,N_America,Canada,New Brunswick,2013,pop07,0.77202033996582
Pd_16,N_America,Canada,New Brunswick,2012,pop07,0.814207553863525
Pd_17,N_America,Canada,New Brunswick,2012,pop07,0.99848335981369
Pd_19,N_America,Canada,New Brunswick,2013,pop07,0.765697956085205
Pd_20,N_America,Canada,New Brunswick,2013,pop07,0.844947576522827
Pd_21,N_America,Canada,New Brunswick,2013,pop06,0.971802651882172
Pd_22,N_America,Canada,New Brunswick,2013,pop07,0.806734263896942
Pd_23,N_America,USA,New York,2008,pop07,0.754875361919403
Pd_24,N_America,Canada,New Brunswick,2012,pop07,0.881536722183228
Pd_26,N_America,Canada,New Brunswick,2012,pop05,0.995057821273804
Pd_27,N_America,Canada,Prince Edward Island,2012,pop05,0.942944169044495
Pd_28,N_America,USA,New York,2008,pop05,0.545536279678345
Pd_49,N_America,USA,Pennsylvania,2009,pop03,0.653413593769073
Pd_50,N_America,USA,New Jersey,2009,pop03,0.618851780891418
Pd_51,N_America,USA,West Virginia,2009,pop03,0.735782206058502
Pd_52,N_America,Canada,Ontario,2010,pop01,0.487379223108292
Pd_53,N_America,USA,Tennessee,2010,pop01,0.344729900360107
Pd_54,N_America,USA,Vermont,2008,pop02,0.603335022926331
Pd_55,N_America,USA,Connecticut,2009,pop01,0.585720956325531
Pd_56,N_America,USA,Virginia,2009,pop01,0.584625244140625
Pd_57,N_America,USA,Massachussetts,2008,pop02,0.72752445936203
Pd_58,N_America,USA,Alabama,2015,pop04,0.999392211437225
Pd_59,N_America,USA,Washington,2016,pop04,0.999400198459625
Pd_62,N_America,USA,Connecticut,2008,pop02,0.843092858791351
Pd_63,N_America,USA,Tennessee,2010,pop01,0.966300845146179
Pd_64,N_America,USA,Maryland,2010,pop02,0.754821419715881
Pd_65,N_America,USA,New York,2009,pop01,0.551457405090332
Pd_66,N_America,USA,Vermont,2010,pop01,0.747775256633759
Pd_67,N_America,Canada,Ontario,2010,pop02,0.904921412467957
Pd_68,N_America,USA,Tennessee,2010,pop03,0.540554225444794
Pd_72,N_America,Canada,New Brunswick,2012,pop05,0.552767813205719
Pd_73,N_America,USA,Missouri,2012,pop07,0.393468230962753
Pd_74,N_America,USA,Virginia,2011,pop02,0.712113261222839
Pd_75,N_America,USA,Tennessee,2011,pop02,0.899385154247284
Pd_76,N_America,USA,Indiana,2011,pop03,0.733065247535706
Pd_77,N_America,USA,Indiana,2011,pop02,0.968530058860779
Pd_78,N_America,USA,Deleware,2012,pop06,0.581766486167908
Pd_79,N_America,USA,Maine,2011,pop03,0.565722703933716
Pd_82,N_America,Canada,Ontario,2014,pop05,0.936529755592346
Pd_83,N_America,Canada,Nova Scotia,2013,pop05,0.975788712501526
Pd_84,N_America,Canada,New Brunswick,2012,pop05,0.954140424728394
Pd_85,N_America,Canada,New Brunswick,2012,pop05,0.949781000614166
