Pd_02	Pd_02.g.vcf.gz
Pd_03	Pd_03.g.vcf.gz
Pd_04	Pd_04.g.vcf.gz
Pd_05	Pd_05.g.vcf.gz
Pd_06	Pd_06.g.vcf.gz
Pd_07	Pd_07.g.vcf.gz
Pd_08	Pd_08.g.vcf.gz
Pd_09	Pd_09.g.vcf.gz
Pd_10	Pd_10.g.vcf.gz
Pd_11	Pd_11.g.vcf.gz
Pd_12	Pd_12.g.vcf.gz
Pd_13	Pd_13.g.vcf.gz
Pd_14	Pd_14.g.vcf.gz
Pd_15	Pd_15.g.vcf.gz
Pd_16	Pd_16.g.vcf.gz
Pd_17	Pd_17.g.vcf.gz
Pd_18	Pd_18.g.vcf.gz
Pd_19	Pd_19.g.vcf.gz
Pd_20	Pd_20.g.vcf.gz
Pd_21	Pd_21.g.vcf.gz
Pd_22	Pd_22.g.vcf.gz
Pd_23	Pd_23.g.vcf.gz
Pd_24	Pd_24.g.vcf.gz
Pd_26	Pd_26.g.vcf.gz
Pd_27	Pd_27.g.vcf.gz
Pd_28	Pd_28.g.vcf.gz
Pd_29	Pd_29.g.vcf.gz
Pd_30	Pd_30.g.vcf.gz
Pd_31	Pd_31.g.vcf.gz
Pd_32	Pd_32.g.vcf.gz
Pd_33	Pd_33.g.vcf.gz
Pd_34	Pd_34.g.vcf.gz
Pd_35	Pd_35.g.vcf.gz
Pd_36	Pd_36.g.vcf.gz
Pd_37	Pd_37.g.vcf.gz
Pd_39	Pd_39.g.vcf.gz
Pd_45	Pd_45.g.vcf.gz
Pd_47	Pd_47.g.vcf.gz
Pd_48	Pd_48.g.vcf.gz
Pd_49	Pd_49.g.vcf.gz
Pd_50	Pd_50.g.vcf.gz
Pd_51	Pd_51.g.vcf.gz
Pd_52	Pd_52.g.vcf.gz
Pd_53	Pd_53.g.vcf.gz
Pd_54	Pd_54.g.vcf.gz
Pd_55	Pd_55.g.vcf.gz
Pd_56	Pd_56.g.vcf.gz
Pd_57	Pd_57.g.vcf.gz
Pd_58	Pd_58.g.vcf.gz
Pd_59	Pd_59.g.vcf.gz
Pd_60	Pd_60.g.vcf.gz
Pd_62	Pd_62.g.vcf.gz
Pd_63	Pd_63.g.vcf.gz
Pd_64	Pd_64.g.vcf.gz
Pd_65	Pd_65.g.vcf.gz
Pd_66	Pd_66.g.vcf.gz
Pd_67	Pd_67.g.vcf.gz
Pd_68	Pd_68.g.vcf.gz
Pd_70	Pd_70.g.vcf.gz
Pd_71	Pd_71.g.vcf.gz
Pd_72	Pd_72.g.vcf.gz
Pd_73	Pd_73.g.vcf.gz
Pd_74	Pd_74.g.vcf.gz
Pd_75	Pd_75.g.vcf.gz
Pd_76	Pd_76.g.vcf.gz
Pd_77	Pd_77.g.vcf.gz
Pd_78	Pd_78.g.vcf.gz
Pd_79	Pd_79.g.vcf.gz
Pd_80	Pd_80.g.vcf.gz
Pd_81	Pd_81.g.vcf.gz
Pd_82	Pd_82.g.vcf.gz
Pd_83	Pd_83.g.vcf.gz
Pd_84	Pd_84.g.vcf.gz
Pd_85	Pd_85.g.vcf.gz
